frame,track_id,gender,gender_p,emotion,emotion_p
3,1,male,0.9988,sad,0.6329
3,2,female,0.9744,fear,0.4839
3,3,male,0.7718,sad,0.9997
4,1,male,0.9988,sad,0.6329
4,2,female,0.9744,fear,0.4839
4,3,male,0.7718,sad,0.9997
5,1,male,0.9988,sad,0.6329
5,2,female,0.9744,fear,0.4839
5,3,male,0.7718,sad,0.9997
6,1,male,0.9988,sad,0.6329
6,2,female,0.9744,fear,0.4839
6,3,male,0.7718,sad,0.9997
7,1,male,0.9988,sad,0.6329
7,2,female,0.9744,fear,0.4839
7,3,male,0.7718,sad,0.9997
8,1,male,0.9988,sad,0.6329
8,2,female,0.9744,fear,0.4839
8,3,male,0.7718,sad,0.9997
9,1,male,0.9988,sad,0.6329
9,2,female,0.9744,fear,0.4839
9,3,male,0.7718,sad,0.9997
10,1,male,0.9988,sad,0.6329
10,2,female,0.9744,fear,0.4839
10,3,male,0.7718,sad,0.9997
11,1,male,0.9988,sad,0.6329
11,2,female,0.9744,fear,0.4839
11,3,male,0.7718,sad,0.9997
12,1,male,0.9988,sad,0.6329
12,2,female,0.9744,fear,0.4839
12,3,male,0.7718,sad,0.9997
13,1,male,0.9988,sad,0.6329
13,2,female,0.9744,fear,0.4839
13,3,male,0.7718,sad,0.9997
14,1,male,0.9988,sad,0.6329
14,2,female,0.9744,fear,0.4839
14,3,male,0.7718,sad,0.9997
15,1,male,0.9988,sad,0.6329
15,2,female,0.9744,fear,0.4839
15,3,male,0.7718,sad,0.9997
16,1,male,0.9988,sad,0.6329
16,2,female,0.9744,fear,0.4839
16,3,male,0.7718,sad,0.9997
17,1,male,0.9988,sad,0.6329
17,2,female,0.9744,fear,0.4839
18,1,male,0.9988,sad,0.6329
18,2,female,0.9744,fear,0.4839
19,1,male,0.9988,sad,0.6329
19,2,female,0.9744,fear,0.4839
20,1,male,0.9988,sad,0.6329
20,2,female,0.9744,fear,0.4839
21,1,male,0.9988,sad,0.6329
21,2,female,0.9744,fear,0.4839
22,1,male,0.9988,sad,0.6329
22,2,female,0.9744,fear,0.4839
23,1,male,0.9988,sad,0.6329
23,2,female,0.9744,fear,0.4839
24,1,male,0.9988,sad,0.6329
24,2,female,0.9744,fear,0.4839
25,1,male,0.9988,sad,0.6329
25,3,male,0.7718,sad,0.9997
26,1,male,0.9988,sad,0.6329
26,3,male,0.7718,sad,0.9997
27,1,male,0.9988,sad,0.6329
28,1,male,0.9988,sad,0.6329
29,1,male,0.9988,sad,0.6329
30,1,male,0.9988,sad,0.6329
31,1,male,0.9988,sad,0.6329
32,1,male,0.9988,sad,0.6329
33,1,male,0.9988,sad,0.6329
34,1,male,0.9988,sad,0.6329
35,1,male,0.9988,sad,0.6329
36,1,male,0.9988,sad,0.6329
37,1,male,0.9988,sad,0.6329
38,1,male,0.9988,sad,0.6329
39,1,male,0.9988,sad,0.6329
40,1,male,0.9988,sad,0.6329
41,1,male,0.9988,sad,0.6329
42,1,male,0.9988,sad,0.6329
43,1,male,0.9988,sad,0.6329
44,1,male,0.9988,sad,0.6329
45,1,male,0.9988,sad,0.6329
46,1,male,0.9988,sad,0.6329
47,1,male,0.9988,sad,0.6329
48,1,male,0.9988,sad,0.6329
49,1,male,0.9988,sad,0.6329
50,1,male,0.9988,sad,0.6329
51,1,male,0.9999,happy,0.5986
52,1,male,0.9999,happy,0.5986
53,1,male,0.9999,happy,0.5986
54,1,male,0.9999,happy,0.5986
55,1,male,0.9999,happy,0.5986
56,1,male,0.9999,happy,0.5986
57,1,male,0.9999,happy,0.5986
57,3,male,0.7718,sad,0.9997
58,1,male,0.9999,happy,0.5986
58,3,male,0.7718,sad,0.9997
59,1,male,0.9999,happy,0.5986
59,3,male,0.7718,sad,0.9997
60,1,male,0.9999,happy,0.5986
60,3,male,0.7718,sad,0.9997
61,1,male,0.9999,happy,0.5986
61,3,male,0.7718,sad,0.9997
62,1,male,0.9999,happy,0.5986
62,3,male,0.7718,sad,0.9997
63,1,male,0.9999,happy,0.5986
63,3,male,0.7718,sad,0.9997
64,1,male,0.9999,happy,0.5986
64,3,male,0.7718,sad,0.9997
65,1,male,0.9999,happy,0.5986
65,3,male,0.7718,sad,0.9997
66,1,male,0.9999,happy,0.5986
66,3,male,0.7718,sad,0.9997
67,1,male,0.9999,happy,0.5986
67,3,male,0.7718,sad,0.9997
68,1,male,0.9999,happy,0.5986
68,3,male,0.7718,sad,0.9997
69,1,male,0.9999,happy,0.5986
69,3,male,0.7718,sad,0.9997
70,1,male,0.9999,happy,0.5986
70,3,male,0.7718,sad,0.9997
71,1,male,0.9999,happy,0.5986
72,1,male,0.9999,happy,0.5986
73,1,male,0.9999,happy,0.5986
74,1,male,0.9999,happy,0.5986
75,1,male,0.9999,happy,0.5986
76,1,male,0.9999,happy,0.5986
77,1,male,0.9999,happy,0.5986
78,1,male,0.9999,happy,0.5986
79,1,male,0.9999,happy,0.5986
80,1,male,0.9999,happy,0.5986
81,1,male,0.9999,happy,0.5986
82,1,male,0.9999,happy,0.5986
82,6,female,0.8399,sad,0.3576
83,1,male,0.9999,happy,0.5986
83,6,female,0.8399,sad,0.3576
84,1,male,0.9999,happy,0.5986
84,6,female,0.8399,sad,0.3576
84,7,female,0.5748,happy,0.9981
85,1,male,0.9999,happy,0.5986
85,6,female,0.8399,sad,0.3576
85,7,female,0.5748,happy,0.9981
86,1,male,0.9999,happy,0.5986
86,6,female,0.8399,sad,0.3576
86,7,female,0.5748,happy,0.9981
87,1,male,0.9999,happy,0.5986
87,6,female,0.8399,sad,0.3576
87,7,female,0.5748,happy,0.9981
88,1,male,0.9999,happy,0.5986
88,6,female,0.8399,sad,0.3576
88,7,female,0.5748,happy,0.9981
89,6,female,0.8399,sad,0.3576
89,1,male,0.9999,happy,0.5986
90,6,female,0.8399,sad,0.3576
90,7,female,0.5748,happy,0.9981
90,1,male,0.9999,happy,0.5986
91,6,female,0.8399,sad,0.3576
91,1,male,0.9999,happy,0.5986
91,7,female,0.5748,happy,0.9981
92,6,female,0.8399,sad,0.3576
92,1,male,0.9999,happy,0.5986
92,7,female,0.5748,happy,0.9981
93,1,male,0.9999,happy,0.5986
93,6,female,0.8399,sad,0.3576
93,8,female,0.9869,happy,0.9613
94,1,male,0.9999,happy,0.5986
94,6,female,0.8399,sad,0.3576
94,8,female,0.9869,happy,0.9613
95,8,female,0.9869,happy,0.9613
95,6,female,0.8399,sad,0.3576
95,1,male,0.9999,happy,0.5986
96,8,female,0.9869,happy,0.9613
96,6,female,0.8399,sad,0.3576
96,1,male,0.9999,happy,0.5986
96,7,female,0.5748,happy,0.9981
97,6,female,0.8399,sad,0.3576
97,8,female,0.9869,happy,0.9613
97,1,male,0.9999,happy,0.5986
98,6,female,0.8399,sad,0.3576
98,8,female,0.9869,happy,0.9613
98,1,male,0.9999,happy,0.5986
99,6,female,0.8399,sad,0.3576
99,8,female,0.9869,happy,0.9613
99,1,male,0.9999,happy,0.5986
100,8,female,0.9869,happy,0.9613
100,6,female,0.8399,sad,0.3576
100,1,male,0.9999,happy,0.5986
101,8,female,0.9869,happy,0.9613
101,6,female,0.8399,sad,0.3576
101,1,male,0.7893,sad,0.6662
102,6,female,0.8399,sad,0.3576
102,8,female,0.9869,happy,0.9613
102,1,male,0.7893,sad,0.6662
103,6,female,0.8399,sad,0.3576
103,8,female,0.9869,happy,0.9613
103,1,male,0.7893,sad,0.6662
104,6,female,0.8399,sad,0.3576
104,8,female,0.9869,happy,0.9613
105,6,female,0.8399,sad,0.3576
105,8,female,0.9869,happy,0.9613
106,6,female,0.7473,natural,0.7121
106,8,female,0.9869,happy,0.9613
107,8,female,0.9869,happy,0.9613
107,6,female,0.7473,natural,0.7121
108,8,male,0.9433,happy,0.9845
108,6,female,0.7473,natural,0.7121
109,6,female,0.7473,natural,0.7121
109,8,male,0.9433,happy,0.9845
109,10,male,0.8221,natural,0.9965
110,8,male,0.9433,happy,0.9845
110,6,female,0.7473,natural,0.7121
110,10,male,0.7235,natural,0.9758
111,8,male,0.9433,happy,0.9845
111,6,female,0.7473,natural,0.7121
112,8,male,0.9433,happy,0.9845
112,6,female,0.7473,natural,0.7121
113,8,male,0.9433,happy,0.9845
113,6,female,0.7473,natural,0.7121
113,1,male,0.7893,sad,0.6662
114,8,male,0.9433,happy,0.9845
114,6,female,0.7473,natural,0.7121
115,8,male,0.9433,happy,0.9845
115,6,female,0.7473,natural,0.7121
116,8,male,0.9433,happy,0.9845
116,6,female,0.7473,natural,0.7121
116,1,male,0.7893,sad,0.6662
117,8,male,0.9433,happy,0.9845
117,6,female,0.7473,natural,0.7121
117,10,male,0.7235,natural,0.9758
118,8,male,0.9433,happy,0.9845
118,6,female,0.7473,natural,0.7121
118,10,male,0.7235,natural,0.9758
118,1,male,0.7893,sad,0.6662
119,8,male,0.9433,happy,0.9845
119,6,female,0.7473,natural,0.7121
120,8,male,0.9433,happy,0.9845
120,6,female,0.7473,natural,0.7121
120,11,male,0.9224,happy,0.9995
120,1,male,0.7893,sad,0.6662
121,6,female,0.7473,natural,0.7121
121,8,male,0.9433,happy,0.9845
121,11,male,0.9224,happy,0.9995
121,1,male,0.7893,sad,0.6662
122,6,female,0.7473,natural,0.7121
122,8,male,0.9433,happy,0.9845
123,8,male,0.9433,happy,0.9845
123,6,female,0.7473,natural,0.7121
124,8,male,0.9433,happy,0.9845
124,6,female,0.7473,natural,0.7121
125,8,male,0.9433,happy,0.9845
125,6,female,0.7473,natural,0.7121
126,6,female,0.7473,natural,0.7121
126,8,male,0.9433,happy,0.9845
127,6,female,0.7473,natural,0.7121
127,8,male,0.9433,happy,0.9845
128,6,female,0.7473,natural,0.7121
128,8,male,0.9433,happy,0.9845
129,6,female,0.7473,natural,0.7121
129,8,male,0.9433,happy,0.9845
130,8,male,0.9433,happy,0.9845
130,6,female,0.7473,natural,0.7121
131,8,male,0.9433,happy,0.9845
131,6,female,0.7473,natural,0.7121
131,11,male,0.9224,happy,0.9995
132,6,female,0.7473,natural,0.7121
132,8,male,0.9433,happy,0.9845
133,6,female,0.7473,natural,0.7121
133,8,male,0.9433,happy,0.9845
134,6,female,0.7473,natural,0.7121
134,8,male,0.9433,happy,0.9845
135,6,female,0.7473,natural,0.7121
135,8,male,0.9433,happy,0.9845
136,6,female,0.7473,natural,0.7121
136,8,male,0.9433,happy,0.9845
137,8,male,0.9433,happy,0.9845
137,6,female,0.7473,natural,0.7121
137,14,male,0.7646,sad,0.9732
138,6,female,0.7473,natural,0.7121
138,8,male,0.9433,happy,0.9845
138,14,male,0.7646,sad,0.9732
139,14,male,0.7646,sad,0.9732
139,8,male,0.9433,happy,0.9845
139,6,female,0.7473,natural,0.7121
140,14,male,0.7646,sad,0.9732
140,8,male,0.9433,happy,0.9845
140,6,female,0.7473,natural,0.7121
141,14,male,0.7646,sad,0.9732
141,6,female,0.7473,natural,0.7121
141,8,male,0.9433,happy,0.9845
142,8,male,0.9433,happy,0.9845
142,14,male,0.7646,sad,0.9732
142,6,female,0.7473,natural,0.7121
143,14,male,0.7646,sad,0.9732
143,6,female,0.7473,natural,0.7121
143,8,male,0.9433,happy,0.9845
144,8,male,0.9433,happy,0.9845
144,14,male,0.7646,sad,0.9732
144,6,female,0.7473,natural,0.7121
145,8,male,0.9433,happy,0.9845
145,14,male,0.7646,sad,0.9732
145,6,female,0.7473,natural,0.7121
146,14,male,0.7646,sad,0.9732
146,8,male,0.9433,happy,0.9845
146,6,female,0.7473,natural,0.7121
147,14,male,0.7646,sad,0.9732
147,8,male,0.9433,happy,0.9845
147,6,female,0.7473,natural,0.7121
148,14,male,0.7646,sad,0.9732
148,8,male,0.9433,happy,0.9845
148,6,female,0.7473,natural,0.7121
149,14,male,0.7646,sad,0.9732
149,8,male,0.9433,happy,0.9845
149,6,female,0.7473,natural,0.7121
150,14,male,0.7646,sad,0.9732
150,8,male,0.9433,happy,0.9845
151,14,male,0.7646,sad,0.9732
151,8,male,0.9433,happy,0.9845
151,6,female,0.7473,natural,0.7121
152,14,male,0.7646,sad,0.9732
152,8,male,0.9433,happy,0.9845
152,6,female,0.7473,natural,0.7121
153,14,male,0.7646,sad,0.9732
153,8,male,0.9433,happy,0.9845
154,14,male,0.7646,sad,0.9732
154,8,male,0.9433,happy,0.9845
154,6,female,0.7473,natural,0.7121
155,14,male,0.7646,sad,0.9732
155,8,male,0.9433,happy,0.9845
156,8,male,0.9433,happy,0.9845
156,14,male,0.7646,sad,0.9732
156,6,male,0.9477,natural,0.8569
