frame,track_id,gender,gender_p,emotion,emotion_p
1,1,unknown,0.5000,natural,1.0000
2,1,unknown,0.5000,natural,1.0000
3,1,unknown,0.5000,natural,1.0000
4,1,unknown,0.5000,natural,1.0000
4,2,unknown,0.5000,natural,1.0000
5,1,unknown,0.5000,natural,1.0000
6,1,unknown,0.5000,natural,1.0000
6,2,unknown,0.5000,natural,1.0000
7,1,unknown,0.5000,natural,1.0000
7,2,unknown,0.5000,natural,1.0000
8,1,unknown,0.5000,natural,1.0000
9,1,unknown,0.5000,natural,1.0000
10,1,unknown,0.5000,natural,1.0000
11,1,unknown,0.5000,natural,1.0000
12,1,unknown,0.5000,natural,1.0000
13,1,unknown,0.5000,natural,1.0000
14,1,unknown,0.5000,natural,1.0000
15,1,unknown,0.5000,natural,1.0000
16,1,unknown,0.5000,natural,1.0000
17,1,unknown,0.5000,natural,1.0000
18,1,unknown,0.5000,natural,1.0000
19,1,unknown,0.5000,natural,1.0000
20,1,unknown,0.5000,natural,1.0000
21,1,unknown,0.5000,natural,1.0000
22,1,unknown,0.5000,natural,1.0000
23,1,unknown,0.5000,natural,1.0000
24,1,unknown,0.5000,natural,1.0000
25,1,unknown,0.5000,natural,1.0000
26,1,unknown,0.5000,natural,1.0000
27,1,unknown,0.5000,natural,1.0000
28,1,unknown,0.5000,natural,1.0000
29,1,unknown,0.5000,natural,1.0000
30,1,unknown,0.5000,natural,1.0000
31,1,unknown,0.5000,natural,1.0000
42,3,unknown,0.5000,natural,1.0000
43,3,unknown,0.5000,natural,1.0000
44,3,unknown,0.5000,natural,1.0000
45,3,unknown,0.5000,natural,1.0000
46,3,unknown,0.5000,natural,1.0000
47,3,unknown,0.5000,natural,1.0000
48,3,unknown,0.5000,natural,1.0000
49,3,unknown,0.5000,natural,1.0000
50,3,unknown,0.5000,natural,1.0000
51,3,unknown,0.5000,natural,1.0000
52,3,unknown,0.5000,natural,1.0000
53,3,unknown,0.5000,natural,1.0000
54,3,unknown,0.5000,natural,1.0000
55,3,unknown,0.5000,natural,1.0000
56,3,unknown,0.5000,natural,1.0000
57,3,unknown,0.5000,natural,1.0000
58,3,unknown,0.5000,natural,1.0000
59,3,unknown,0.5000,natural,1.0000
61,3,unknown,0.5000,natural,1.0000
62,3,unknown,0.5000,natural,1.0000
63,3,unknown,0.5000,natural,1.0000
64,3,unknown,0.5000,natural,1.0000
147,8,unknown,0.5000,natural,1.0000
148,8,unknown,0.5000,natural,1.0000
149,8,unknown,0.5000,natural,1.0000
150,8,unknown,0.5000,natural,1.0000
151,8,unknown,0.5000,natural,1.0000
152,8,unknown,0.5000,natural,1.0000
153,8,unknown,0.5000,natural,1.0000
154,8,unknown,0.5000,natural,1.0000
155,8,unknown,0.5000,natural,1.0000
156,8,unknown,0.5000,natural,1.0000
157,8,unknown,0.5000,natural,1.0000
158,8,unknown,0.5000,natural,1.0000
159,8,unknown,0.5000,natural,1.0000
160,8,unknown,0.5000,natural,1.0000
161,8,unknown,0.5000,natural,1.0000
162,8,unknown,0.5000,natural,1.0000
163,8,unknown,0.5000,natural,1.0000
164,8,unknown,0.5000,natural,1.0000
165,8,unknown,0.5000,natural,1.0000
166,8,unknown,0.5000,natural,1.0000
167,8,unknown,0.5000,natural,1.0000
168,8,unknown,0.5000,natural,1.0000
169,8,unknown,0.5000,natural,1.0000
170,8,unknown,0.5000,natural,1.0000
171,8,unknown,0.5000,natural,1.0000
172,8,unknown,0.5000,natural,1.0000
173,8,unknown,0.5000,natural,1.0000
174,8,unknown,0.5000,natural,1.0000
175,8,unknown,0.5000,natural,1.0000
176,8,unknown,0.5000,natural,1.0000
177,8,unknown,0.5000,natural,1.0000
178,8,unknown,0.5000,natural,1.0000
179,8,unknown,0.5000,natural,1.0000
180,8,unknown,0.5000,natural,1.0000
181,8,unknown,0.5000,natural,1.0000
182,8,unknown,0.5000,natural,1.0000
183,8,unknown,0.5000,natural,1.0000
184,8,unknown,0.5000,natural,1.0000
185,8,unknown,0.5000,natural,1.0000
186,8,unknown,0.5000,natural,1.0000
187,8,unknown,0.5000,natural,1.0000
188,8,unknown,0.5000,natural,1.0000
189,8,unknown,0.5000,natural,1.0000
190,8,unknown,0.5000,natural,1.0000
191,8,unknown,0.5000,natural,1.0000
192,8,unknown,0.5000,natural,1.0000
193,8,unknown,0.5000,natural,1.0000
194,8,unknown,0.5000,natural,1.0000
195,8,unknown,0.5000,natural,1.0000
196,8,unknown,0.5000,natural,1.0000
197,8,unknown,0.5000,natural,1.0000
198,8,unknown,0.5000,natural,1.0000
200,9,unknown,0.5000,natural,1.0000
201,9,unknown,0.5000,natural,1.0000
202,9,unknown,0.5000,natural,1.0000
203,9,unknown,0.5000,natural,1.0000
204,9,unknown,0.5000,natural,1.0000
205,9,unknown,0.5000,natural,1.0000
206,9,unknown,0.5000,natural,1.0000
207,9,unknown,0.5000,natural,1.0000
208,9,unknown,0.5000,natural,1.0000
209,9,unknown,0.5000,natural,1.0000
210,9,unknown,0.5000,natural,1.0000
211,9,unknown,0.5000,natural,1.0000
212,9,unknown,0.5000,natural,1.0000
