frame,track_id,gender,gender_p,emotion,emotion_p
1,1,male,0.9996,happy,0.9413
2,1,male,0.9996,happy,0.9413
3,1,male,0.9996,happy,0.9413
4,1,male,0.9996,happy,0.9413
5,1,male,0.9996,happy,0.9413
6,1,male,0.9996,happy,0.9413
7,1,male,0.9996,happy,0.9413
8,1,male,0.9996,happy,0.9413
9,1,male,0.9996,happy,0.9413
10,1,male,0.9996,happy,0.9413
11,1,male,0.9996,happy,0.9413
12,1,male,0.9996,happy,0.9413
13,1,male,0.9996,happy,0.9413
14,1,male,0.9996,happy,0.9413
15,1,male,0.9996,happy,0.9413
16,1,male,0.9979,natural,0.5549
17,1,male,0.9979,natural,0.5549
18,1,male,0.9979,natural,0.5549
19,1,male,0.9979,natural,0.5549
20,1,male,0.9979,natural,0.5549
21,1,male,0.9979,natural,0.5549
22,1,male,0.9979,natural,0.5549
23,1,male,0.9979,natural,0.5549
24,1,male,0.9979,natural,0.5549
25,1,male,0.9979,natural,0.5549
26,1,male,0.9979,natural,0.5549
27,1,male,0.9979,natural,0.5549
28,1,male,0.9979,natural,0.5549
29,1,male,0.9979,natural,0.5549
30,1,male,0.9979,natural,0.5549
31,1,male,0.9996,happy,0.6546
32,1,male,0.9996,happy,0.6546
33,1,male,0.9996,happy,0.6546
34,1,male,0.9996,happy,0.6546
35,1,male,0.9996,happy,0.6546
36,1,male,0.9996,happy,0.6546
37,1,male,0.9996,happy,0.6546
38,1,male,0.9996,happy,0.6546
39,1,male,0.9996,happy,0.6546
40,1,male,0.9996,happy,0.6546
41,1,male,0.9996,happy,0.6546
42,1,male,0.9996,happy,0.6546
43,1,male,0.9996,happy,0.6546
44,1,male,0.9996,happy,0.6546
45,1,male,0.9996,happy,0.6546
46,1,male,0.9996,natural,0.5689
47,1,male,0.9996,natural,0.5689
48,1,male,0.9996,natural,0.5689
49,1,male,0.9996,natural,0.5689
50,1,male,0.9996,natural,0.5689
51,1,male,0.9996,natural,0.5689
52,1,male,0.9996,natural,0.5689
53,1,male,0.9996,natural,0.5689
54,1,male,0.9996,natural,0.5689
55,1,male,0.9996,natural,0.5689
56,1,male,0.9996,natural,0.5689
57,1,male,0.9996,natural,0.5689
58,1,male,0.9996,natural,0.5689
59,1,male,0.9996,natural,0.5689
60,1,male,0.9996,natural,0.5689
61,1,male,0.9995,natural,0.6437
62,1,male,0.9995,natural,0.6437
63,1,male,0.9995,natural,0.6437
64,1,male,0.9995,natural,0.6437
65,1,male,0.9995,natural,0.6437
66,1,male,0.9995,natural,0.6437
67,1,male,0.9995,natural,0.6437
68,1,male,0.9995,natural,0.6437
69,1,male,0.9995,natural,0.6437
70,1,male,0.9995,natural,0.6437
71,1,male,0.9995,natural,0.6437
72,1,male,0.9995,natural,0.6437
73,1,male,0.9995,natural,0.6437
74,1,male,0.9995,natural,0.6437
75,1,male,0.9995,natural,0.6437
76,1,male,0.9995,natural,0.4046
77,1,male,0.9995,natural,0.4046
78,1,male,0.9995,natural,0.4046
79,1,male,0.9995,natural,0.4046
80,1,male,0.9995,natural,0.4046
81,1,male,0.9995,natural,0.4046
