frame,track_id,gender,gender_p,emotion,emotion_p
1,1,female,0.6444,sad,0.9041
1,2,female,0.8231,sad,0.7999
2,1,female,0.6444,sad,0.9041
2,2,female,0.7476,sad,0.6485
3,1,female,0.6444,sad,0.9041
3,2,female,0.7476,sad,0.6485
4,1,female,0.6444,sad,0.9041
4,2,female,0.7476,sad,0.6485
5,1,female,0.6444,sad,0.9041
5,2,female,0.7476,sad,0.6485
6,1,female,0.6444,sad,0.9041
6,2,female,0.7476,sad,0.6485
7,1,female,0.6444,sad,0.9041
7,2,female,0.7476,sad,0.6485
8,1,female,0.6444,sad,0.9041
8,2,female,0.7476,sad,0.6485
9,1,female,0.6444,sad,0.9041
9,2,female,0.7476,sad,0.6485
9,3,male,0.7308,sad,1.0000
10,1,female,0.6444,sad,0.9041
10,2,female,0.7476,sad,0.6485
10,3,male,0.7308,sad,1.0000
11,1,female,0.6444,sad,0.9041
11,2,female,0.7476,sad,0.6485
11,3,male,0.7308,sad,1.0000
12,1,female,0.6444,sad,0.9041
12,2,female,0.7476,sad,0.6485
12,3,male,0.7308,sad,1.0000
13,1,female,0.6444,sad,0.9041
13,2,female,0.7476,sad,0.6485
13,3,male,0.7308,sad,1.0000
14,1,female,0.6444,sad,0.9041
14,3,male,0.7308,sad,1.0000
14,2,female,0.7476,sad,0.6485
15,1,female,0.6444,sad,0.9041
15,3,male,0.7308,sad,1.0000
15,2,female,0.7476,sad,0.6485
16,1,female,0.6444,sad,0.9041
16,3,male,0.7308,sad,1.0000
16,2,female,0.7476,sad,0.6485
17,1,female,0.6444,sad,0.9041
17,3,male,0.7308,sad,1.0000
17,2,female,0.7476,sad,0.6485
18,1,female,0.6444,sad,0.9041
18,3,male,0.7308,sad,1.0000
18,2,female,0.7476,sad,0.6485
19,1,female,0.6444,sad,0.9041
19,3,male,0.7308,sad,1.0000
19,2,female,0.7476,sad,0.6485
20,1,female,0.6444,sad,0.9041
20,3,male,0.7308,sad,1.0000
20,2,female,0.7476,sad,0.6485
21,1,female,0.6444,sad,0.9041
21,3,male,0.7308,sad,1.0000
21,2,female,0.7476,sad,0.6485
22,1,female,0.6444,sad,0.9041
22,3,male,0.7308,sad,1.0000
22,2,female,0.7476,sad,0.6485
23,1,female,0.6444,sad,0.9041
23,3,male,0.7308,sad,1.0000
23,2,female,0.7476,sad,0.6485
24,1,female,0.6444,sad,0.9041
24,3,male,0.7308,sad,1.0000
24,2,female,0.7476,sad,0.6485
25,1,female,0.6444,sad,0.9041
25,3,male,0.7308,sad,1.0000
25,2,female,0.7476,sad,0.6485
26,1,female,0.6444,sad,0.9041
26,3,male,0.7308,sad,1.0000
26,2,female,0.7476,sad,0.6485
27,1,female,0.6444,sad,0.9041
27,3,male,0.7308,sad,1.0000
27,2,female,0.7476,sad,0.6485
28,1,female,0.6444,sad,0.9041
28,3,male,0.7308,sad,1.0000
28,2,female,0.7476,sad,0.6485
29,1,female,0.6444,sad,0.9041
29,3,male,0.7308,sad,1.0000
29,2,female,0.7476,sad,0.6485
30,1,female,0.6444,sad,0.9041
30,3,male,0.7308,sad,1.0000
30,2,female,0.7476,sad,0.6485
31,1,female,0.6444,sad,0.9041
31,3,male,0.7308,sad,1.0000
31,2,female,0.7476,sad,0.6485
32,3,male,0.7308,sad,1.0000
32,1,female,0.6444,sad,0.9041
32,2,female,0.7476,sad,0.6485
33,3,male,0.7308,sad,1.0000
33,1,female,0.6444,sad,0.9041
33,2,female,0.7476,sad,0.6485
